,Accuracy,F1,Precision,Recall,no feats,splits
0,0.8717442778216259,0.8697916666666666,0.884678076609617,0.855397951142632,1000,0.2
1,0.8760852407261247,0.8742490989187024,0.8888436482084691,0.8601260835303388,3000,0.2
2,0.8861483820047356,0.8845769153830766,0.8984152783421373,0.8711583924349882,5000,0.2
3,0.8932517758484609,0.893019576824204,0.8963874553394204,0.8896769109535066,7000,0.2
4,0.8975927387529598,0.897451096621221,0.9001189060642093,0.8947990543735225,9000,0.2
5,0.9001578531965272,0.9001184366363996,0.9018987341772152,0.8983451536643026,11000,0.2
6,0.9021310181531176,0.9022852639873916,0.9022852639873916,0.9022852639873916,13000,0.2
7,0.9029202841357538,0.9031496062992126,0.9024390243902439,0.9038613081166272,15000,0.2
8,0.903906866614049,0.9043033994890942,0.9019992159937279,0.9066193853427896,17000,0.2
9,0.9029202841357538,0.903453689167975,0.8999218139171228,0.9070133963750985,19000,0.2
10,0.8671402262562483,0.8659410671621981,0.889798145117294,0.843329886246122,1000,0.4
11,0.8837148118916075,0.8829449152542374,0.9049945711183496,0.8619441571871769,3000,0.4
12,0.8908182057353328,0.8905879251252308,0.9085529854760624,0.8733195449844882,5000,0.4
13,0.8966061562746646,0.896551724137931,0.9131367292225201,0.8805584281282316,7000,0.4
14,0.900815574848724,0.9009198423127462,0.9160876536611438,0.8862461220268872,9000,0.4
15,0.9031833727966324,0.9031068983675619,0.9200643776824035,0.8867631851085832,11000,0.4
16,0.9052880820836622,0.9053627760252366,0.9208556149732621,0.890382626680455,13000,0.4
17,0.9068666140489345,0.9070866141732283,0.9211087420042644,0.8934850051706308,15000,0.4
18,0.908182057353328,0.9086148206336738,0.9204244031830239,0.8971044467425026,17000,0.4
19,0.908182057353328,0.9085190039318479,0.9213184476342371,0.8960703205791106,19000,0.4
20,0.8716936439005132,0.8693204664254122,0.8817292006525286,0.8572561459159397,1000,0.6000000000000001
21,0.8811685748124753,0.878775674587193,0.8927986906710311,0.8651863600317209,3000,0.6000000000000001
22,0.8894591393604422,0.8878205128205129,0.897165991902834,0.8786677240285488,5000,0.6000000000000001
23,0.8973549151204105,0.8962490023942539,0.9020080321285141,0.8905630452022204,7000,0.6000000000000001
24,0.8989340702724042,0.8980079681274901,0.9023218574859888,0.893735130848533,9000,0.6000000000000001
25,0.9016975917883933,0.9008363201911589,0.9048,0.8969072164948454,11000,0.6000000000000001
26,0.9080142123963679,0.9072821329088738,0.9105431309904153,0.9040444091990484,13000,0.6000000000000001
27,0.9084090011843664,0.9076433121019108,0.9112709832134293,0.9040444091990484,15000,0.6000000000000001
28,0.9091985787603633,0.9084394904458599,0.9120703437250199,0.9048374306106265,17000,0.6000000000000001
29,0.9095933675483616,0.909090909090909,0.910174880763116,0.9080095162569389,19000,0.6000000000000001
30,0.8721389108129439,0.8693548387096774,0.873581847649919,0.8651685393258427,1000,0.8
31,0.8666140489344909,0.8627132412672623,0.8733552631578947,0.8523274478330658,3000,0.8
32,0.877663772691397,0.873675631621842,0.8874172185430463,0.8603531300160514,5000,0.8
33,0.8808208366219415,0.8773354995938261,0.8881578947368421,0.8667736757624398,7000,0.8
34,0.8926598263614838,0.8894308943089432,0.9011532125205931,0.8780096308186196,9000,0.8
35,0.8950276243093923,0.8923076923076924,0.9003267973856209,0.884430176565008,11000,0.8
36,0.904498816101026,0.9021827000808408,0.9087947882736156,0.8956661316211878,13000,0.8
37,0.9052880820836622,0.9029126213592233,0.9102773246329527,0.8956661316211878,15000,0.8
38,0.9021310181531176,0.8996763754045307,0.9070146818923328,0.8924558587479936,17000,0.8
39,0.9037095501183899,0.900974025974026,0.9113300492610837,0.8908507223113965,19000,0.8
