,Accuracy,F1,Precision,Recall,n_gram_range
0,0.9005524861878453,0.9037433155080214,0.8724188790560472,0.9374009508716323,"(1, 1)"
1,0.8962115232833465,0.9053616408780137,0.8292682926829268,0.9968304278922345,"(2, 2)"
2,0.8918705603788477,0.9010115606936416,0.8280212483399735,0.9881141045958796,"(3, 3)"
3,0.8993685872138911,0.9073064340239912,0.8381464069845533,0.9889064976228209,"(1, 2)"
4,0.8863456985003947,0.8971428571428572,0.8166449934980494,0.9952456418383518,"(1, 3)"
