,Accuracy,F1,Precision,Recall,no feats,splits
0,0.8863456985003947,0.8839645447219985,0.9043693322341303,0.8644602048857368,1000,0.2
1,0.8932517758484609,0.893524896673883,0.8926464805348014,0.8944050433412135,3000,0.2
2,0.8962115232833465,0.8993494068120934,0.8742559523809523,0.9259259259259259,5000,0.2
3,0.8932517758484609,0.8987839101964454,0.8557178482365515,0.946414499605989,7000,0.2
4,0.8847671665351223,0.8928046989720998,0.8357388316151203,0.9582348305752562,9000,0.2
5,0.8770718232044199,0.8870763095885446,0.8214165827458879,0.9641449960598897,11000,0.2
6,0.8687845303867403,0.881058844571633,0.8067474615132656,0.9704491725768322,13000,0.2
7,0.861681136543015,0.8758193091231179,0.7956227872545865,0.9739952718676123,15000,0.2
8,0.856156274664562,0.8717678100263853,0.7874165872259294,0.9763593380614657,17000,0.2
9,0.8535911602209945,0.8706415620641562,0.7808005003126954,0.9838455476753349,19000,0.2
10,0.8881873191265457,0.8868778280542987,0.913878222709819,0.8614270941054809,1000,0.4
11,0.9000263088660879,0.9001051524710831,0.9155080213903743,0.8852119958634953,3000,0.4
12,0.9050249934227835,0.9069827364081423,0.903954802259887,0.9100310237849017,5000,0.4
13,0.9102867666403578,0.9131652661064426,0.8996487706974411,0.9270941054808687,7000,0.4
14,0.9100236779794791,0.9137235116044401,0.8921182266009853,0.9364012409513961,9000,0.4
15,0.9068666140489345,0.9117206982543641,0.8805394990366089,0.9451913133402275,11000,0.4
16,0.9058142594054196,0.9112543381259296,0.8752380952380953,0.9503619441571872,13000,0.4
17,0.9037095501183899,0.9098077870872351,0.8691148775894538,0.954498448810755,15000,0.4
18,0.9058142594054196,0.912211868563021,0.8675373134328358,0.9617373319544984,17000,0.4
19,0.9031833727966324,0.9103313840155945,0.8608294930875576,0.9658738366080661,19000,0.4
20,0.8819581523884722,0.8791919191919192,0.8962108731466227,0.8628072957969866,1000,0.6000000000000001
21,0.8930122384524279,0.8922465208747514,0.8947368421052632,0.8897700237906423,3000,0.6000000000000001
22,0.8997236478484011,0.9004702194357367,0.8900077459333849,0.9111816019032514,5000,0.6000000000000001
23,0.9036715357283853,0.9054263565891473,0.8855193328279,0.9262490087232356,7000,0.6000000000000001
24,0.8997236478484011,0.9029793735676088,0.871039056742815,0.9373513084853291,9000,0.6000000000000001
25,0.9044611133043822,0.9082638362395753,0.8700072621641249,0.9500396510705789,11000,0.6000000000000001
26,0.9016975917883933,0.9064964325948179,0.8609129814550642,0.957176843774782,13000,0.6000000000000001
27,0.8989340702724042,0.9044776119402985,0.854122621564482,0.9611419508326725,15000,0.6000000000000001
28,0.8961705487564153,0.9028444772811229,0.8450899031811895,0.9690721649484536,17000,0.6000000000000001
29,0.8926174496644296,0.9000734753857458,0.838466803559206,0.9714512291831879,19000,0.6000000000000001
30,0.8705603788476717,0.8664495114006514,0.8793388429752066,0.8539325842696629,1000,0.8
31,0.8863456985003947,0.8847999999999999,0.8819776714513556,0.8876404494382022,3000,0.8
32,0.8958168902920284,0.8945686900958466,0.890302066772655,0.898876404494382,5000,0.8
33,0.8966061562746646,0.8964426877470356,0.883177570093458,0.9101123595505618,7000,0.8
34,0.898973954222573,0.8999999999999999,0.8767123287671232,0.9245585874799358,9000,0.8
35,0.9037095501183899,0.9054263565891474,0.8755622188905547,0.9373996789727127,11000,0.8
36,0.9029202841357538,0.9056024558710669,0.8676470588235294,0.9470304975922953,13000,0.8
37,0.9029202841357538,0.9061784897025171,0.8633720930232558,0.9534510433386838,15000,0.8
38,0.9005524861878453,0.9044006069802731,0.8575539568345324,0.956661316211878,17000,0.8
39,0.898973954222573,0.9036144578313253,0.851063829787234,0.9630818619582665,19000,0.8
